Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
defence-zsu-bercy,Defence ZSU берцы,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p> Defence ZSU берцы- демисезонная модель высоких ботинок от ТМ Скади.<br/>
 Лёгкие, удобные, язык-клапан.<br/>
Материал верха-кордура с кожей.<br/>
Подкладка-многослойная сетка.<br/>
 Водонепроницаемая поверхность обуви сохраняет ноги сухими при любых погодных условиях. Современная подкладка устойчивая к истиранию, выводит влагу и отлично дышит.<br/>
Высокая шнуровка обеспечивает надежную фиксацию, а износостойкая резиновая подошва гарантирует идеальное сцепление с любой поверхностью.</p>
</div>",r,1000.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-zsu-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-zsu1-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-zsu2-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-zsu3-600x600.jpg",+,,,,,,,,,,https://skadi.net.ua/product/defence-zsu-bercy/,defence-zsu-bercy,,,Берцы,,,,,,,Defence BLACK,,Модель,"Берцы, Ботинки, Кеды, Кроссовки",,Вид обуви,ЗСУ,,Основной цвет,"Кожа Crazy Horse, Ткань Cordura",,Материал верха,Сетка износостойкая,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,Весна / Осень,,Сезон,Skadi,,Бренд
defence-coyote-bercy,Defence COYOTE берцы,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p> Defence COYOTE берцы- демисезонная модель высоких ботинок от ТМ Скади.<br/>
 Лёгкие, удобные, язык-клапан.<br/>
Материал верха- кордура с кожей.<br/>
Подкладка-многослойная сетка.<br/>
 Водонепроницаемая поверхность обуви сохраняет ноги сухими при любых погодных условиях. Современная подкладка устойчивая к истиранию, выводит влагу и отлично дышит.<br/>
Высокая шнуровка обеспечивает надежную фиксацию, а износостойкая резиновая подошва гарантирует идеальное сцепление с любой поверхностью.</p>
</div>",r,1000.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2019/10/bercy-defence-sand-600x398.jpg, https://skadi.net.ua/wp-content/uploads/2019/10/bercy-defence-sand1-600x399.jpg",+,,,,,,,,,,https://skadi.net.ua/product/defence-coyote-bercy/,defence-coyote-bercy,,,Берцы,,,,,,,Defence BLACK,,Модель,"Берцы, Ботинки, Кеды, Кроссовки",,Вид обуви,Койот,,Основной цвет,"Кожа Crazy Horse, Ткань Cordura",,Материал верха,Сетка износостойкая,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,Весна / Осень,,Сезон,Skadi,,Бренд
defence-black-bercy,Defence BLACK берцы,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p> Defence BLACK берцы- демисезонная модель высоких ботинок от ТМ Скади.<br/>
 Лёгкие, удобные, язык-клапан.<br/>
Материал верха-кордура с кожей.<br/>
Подкладка-многослойная сетка.<br/>
 Водонепроницаемая поверхность обуви сохраняет ноги сухими при любых погодных условиях. Современная подкладка устойчивая к истиранию, выводит влагу и отлично дышит.<br/>
Высокая шнуровка обеспечивает надежную фиксацию, а износостойкая резиновая подошва гарантирует идеальное сцепление с любой поверхностью.</p>
</div>",r,1000.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-black-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-black1-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2019/08/bercy-defence-black2-600x600.jpg",+,,,,,,,,,,https://skadi.net.ua/product/defence-black-bercy/,defence-black-bercy,,,Берцы,,,,,,,Defence BLACK,,Модель,"Берцы, Ботинки, Кеды, Кроссовки",,Вид обуви,Черный,,Основной цвет,"Кожа Crazy Horse, Ткань Cordura",,Материал верха,Сетка износостойкая,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,Весна / Осень,,Сезон,Skadi,,Бренд
b2-zsu-bercy,B2-ZSU берцы военные,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p>B2- отличный вариант для охотников, рыбаков и активного отдыха.</p>
<p>Основа верха данной модели выполнена из кожи КРС повышенной прочности.<br/>
Ее получают с помощью оригинальной финишной обработки: нанесением тугоплавкого воска на поверхность шлифованного краста.</p>
<p>Вставки из материала Cordura®. Это толстая нейлоновая ткань с особой структурой нити. Имеет водоотталкивающую пропитку и полиуретановое покрытие.</p>
<p>Имеют глухой язык, защищающий от грязи, песка, мелких камней.</p>
<p>Подкладка из современной многослойной синтетической сетки.</p>
<p>Подошва из термопластичной износоустойчивой и прочной резины.</p>
</div>",r,1100.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2019/05/b2-zsu-bercy-600x450.jpg, https://skadi.net.ua/wp-content/uploads/2019/05/b2-zsu-bercy1-600x450.jpg",+,,,,,,,,,,https://skadi.net.ua/product/b2-zsu-bercy-voennye/,b2-zsu-bercy,,,Берцы,,,,,,,B2,,Модель,Берцы,,Вид обуви,ЗСУ,,Основной цвет,Кожа Crazy Horse,,Материал верха,Cordura,,Вставки,Сетка износостойкая,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,"Весна / Осень, Прохладное лето",,Сезон,Skadi,,Бренд
sl2-green-bercy,SL2-GREEN берцы гидрофобные,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p>SL2-GREEN берцы гидрофобные- оригинальная модель высоких ботинок без подкладки.</p>
<p>Когда дело доходит до того, чтобы быть в любой момент готовым встретить самые сложные ситуации, в которых вы можете оказаться, качество вашей обуви имеет первостепенное значение.<br/>
Некоторая защитная обувь может показаться чрезмерно тяжелой и громоздкой, но эти берцы обеспечивают защиту ног, не отягощая вас.<br/>
 Прочная, но удобная водонепроницаемая пара обуви будет держать ваши ноги сухими и ​​защищенными. Эта крепкая пара ботинок без подкладки быстро сохнет.</p>
<p>Подошва особенно долговечна и изготовлена ​​из резины, которая обеспечивает превосходное сцепление с дорогой, когда вам это нужно больше всего.</p>
</div>",r,1300.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2018/10/sl2-green-bercy-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2018/10/sl2-green-bercy1-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2018/10/sl2-green-bercy3-600x600.jpg",+,,,,,,,,,,https://skadi.net.ua/product/sl2-green-bercy-gidrofobnye/,sl2-green-bercy,,,Берцы,,,,,,,SL2,,Модель,Берцы,,Вид обуви,Зеленый,,Основной цвет,Гидрофобная кожа,,Материал верха,Отсуствует,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,"Весна / Осень, Прохладное лето",,Сезон,Skadi,,Бренд
sl2-white-bercy,SL2-WHITE берцы гидрофобные,,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"">
<h2>Описание</h2>
<p>SL2-WHITE берцы гидрофобные- оригинальная модель высоких ботинок без подкладки.</p>
<p>Когда дело доходит до того, чтобы быть в любой момент готовым встретить самые сложные ситуации, в которых вы можете оказаться, качество вашей обуви имеет первостепенное значение.<br/>
Некоторая защитная обувь может показаться чрезмерно тяжелой и громоздкой, но эти берцы обеспечивают защиту ног, не отягощая вас.</p>
<p> Прочная, но удобная водонепроницаемая пара обуви будет держать ваши ноги сухими и ​​защищенными. Эта крепкая пара ботинок без подкладки быстро сохнет.</p>
<p>Подошва особенно долговечна и изготовлена ​​из резины, которая обеспечивает превосходное сцепление с дорогой, когда вам это нужно больше всего.</p>
</div>",r,1300.00,,,,,,UAH,,,,шт,,,,"https://skadi.net.ua/wp-content/uploads/2018/10/sl2-white-bercy-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2018/10/sl2-white-bercy1-600x600.jpg, https://skadi.net.ua/wp-content/uploads/2018/10/sl2-white-bercy2-600x600.jpg",+,,,,,,,,,,https://skadi.net.ua/product/sl2-white-bercy-gidrofobnye/,sl2-white-bercy,,,Берцы,,,,,,,SL2,,Модель,Берцы,,Вид обуви,Белый,,Основной цвет,Гидрофобная кожа,,Материал верха,Отсуствует,,Подкладка,ТЭП (вакуумная вулканизация),,Подошва,"Весна / Осень, Прохладное лето",,Сезон,Skadi,,Бренд
